71	Do you have time off?	쉬는 시간이 있어요?	-;-
71	Nice to meet you.	처음 뵙겠습니다.	-;-
71	full name	성명	아래에 성명, 연령, 직업을 기입하세요.;Please state your name, age and occupation below.
71	gender	성별	그의 여권에 표시된 성별은 남성이다.;His gender marker on his passport is male.
71	date of birth	생년월일	너의 생년월일은 어떻게 되니?;What is the date of your birth?
71	nationality	국적	그녀는 이중 국적자이다.;She has dual nationality.
71	religion	종교	종교 지도자들의 모임.;A gathering of religious leaders
71	contact information	연락처	연락처 교환했어?;Did you exchange numbers?
71	address	주소	그 사람 주소 아니?;Do you know his address?
71	telephone	전화	전화와?;Who's calling you?
71	e-mail	이메일	이메일 주소가 어떻게 되세요?;What’s your email address?
71	doesn't exist	없음	관심 없음?;Don't want any?
71	oneself, honey	자기	자기가 자기를 따라해.;She's imitating herself.
71	adverbs of frequency	빈도 부사	-;-
71	introduction	소개	우리는 이미 소개를 받았어요.;We’ve already been introduced.
71	introduce yourself	자기소개하기	우리는 자기소개를 하는 것으로 시작했다.;We started off by introducing ourselves.
71	Chuseok (festivity)	추석	추석에 무엇을 할 계획이니?;What are your plans for Chuseok?
71	rice cake	떡	떡이다! - 나 떡 좋아해!;Rice cake! - I love it!
71	tradition	전통	옛날 전통을 계속 유지하다.;to keep up old traditions.;그 축제는 전통적으로 5월에 열린다.;The festival is traditionally held in May.
71	Songpyeon (rice cake traditionally eaten during Korean autumn festival)	송편	송편은 떡의 한 종류야.;Songpyeon is a type of rice cake.
71	Tteokguk (sliced rice cake soup)	떡국	떡국은 떡으로 만든 국이다.;Tteokguk is a rice cake soup.;난 맛있는 떡국을 좋아해.;I love eating the delicious rice cake soup.
71	new year	설날	설날에는 LA에 있을 거야.;I’ll be in LA for New Years.
71	new place	새로운 곳	그는 또한 많은 새로운 곳들을 보았다.;He also saw many new places.
71	new things	새로운 것	이 생각은 새로운 것이 아니다.;This idea isn’t new.
71	face	얼굴	다정한 얼굴;a kind face
71	noun	명사	라틴어 명사에는 격・수・성이 있다.;Latin nouns have case, number and gender.
71	unit noun / measure word	단위 명사	-;-
71	Eastern Europe	동유럽	동유럽이랑 영국.;Eastern Europe and England.
71	month	개월	그들의 나이는 0살하고 개월입니다.;They are 0 years and months old!
71	to be new	새롭다	이렇게 하니까 새롭다.;It's new doing it like this.
71	first	처음	당신은 그를 언제 처음 만났나요?;When did you first meet him?
71	around (time)	쯤	나는 그녀의 두 번째 소설을 절반 쯤 읽었다.;I’m halfway through her second novel.
71	always	항상	그는 항상 일찍 일어난다.;He always gets up early.
71	sometimes	가끔	나는 가끔 혼자 있는 것이 좋다.;I like to be on my own sometimes.
71	always	언제나	그녀는 언제나 몸매가 좋다.;She’s always had a good figure.
71	during	동안	쌀을 20분 동안 끓여라.;Boil the rice for 20 minutes.
71	before	전에	두 달 전에;two months ago
71	after	후에	오늘 방과 후에 만날까?;Shall I meet you after school today?
71	all	모두	우리는 모두 잘 지내요.;We are all doing well.
71	to laugh, to smile	웃다	그 여자는 울다 웃다 했다.;The woman cried and laughed.;어제 웃긴 영화를 보고 많이 웃었어요.;I watched a funny movie yesterday and laughed a lot.
71	to make a presentation	발표를 하다	언제 발표를 해볼까?;When do you want to present?
71	to do a presentation on sth	에 대해(서) 발표하다	-;-
72	flower	꽃	이 꽃 이름 아니?;Do you know the name of this flower?
72	festival	축제	매년 지역 축제가 있다.;There is a local carnival every year.
72	Munich	뮌헨	그는 뮌헨에서 성장했어요.;He grew up in Munich.
72	office	사무실	내 사무실은 5층에 있다.;My office is on the fifth floor.
72	word	단어	이 단어의 뜻이 뭐죠?;What’s the meaning of this word?
72	purpose	목적	그녀는 직장을 구할 목적으로 런던에 갔다.;She went to London with the aim of finding a job.
72	culture	문화	그들은 완전히 다른 문화 출신이다.;They come from totally different cultures.
72	history	역사	나는 역사에 관심이 많다.;I’m very interested in history.
72	young	어리다	그는 나보다 여섯 살 어리다;He is six years younger than I (am).
72	average, mean	평균	4, 5, 9의 평균은 6이다.;The average of 4, 5 and 9 is 6.;하루 평균 8시간 일한다.;I average 8 hours’ work a day.
72	just, simply	그냥	난 그냥 커피만 준비할게.;I’ll just make the coffee.
72	to celebrate	기념하다	당신 나라에서는 새해를 어떻게 기념해요?;How do people celebrate New Year in your country?
72	to bring	가져오다	우산을 잊고 안 가져오다.;Forgot to bring an umbrella.
72	to stand in line	줄을 서다	아이들은 모두 한 줄로 서 있었다.;The children all stood in a line.
72	to run	뛰어가다	그는 1마일을 4분에 뛰어갔다.;He ran a mile in 4 minutes.
72	to forget	잊어버리다	그것에 대하여 잊어버리다.;forget about it.
72	to practice	연습하다	매일 피아노 연습을 하다.;Practice piano every day.
72	to call somebody	부르다	택시를 부르다.;Call a taxi.
72	to play (an instrument)	연주하다	피아노를 연주하다.;To play the piano.
72	to enjoy something	을/를 즐기다	음악을 즐기다.;To enjoy the music.;풍경을 즐기다.;To enjoy the scenery.
73	for example...	예를 들면	예를 들면, 사람들은 여가 시간에 관해서 말하기를 좋아한다.;For example, people like to talk about the leisure time.
73	I miss you.	니가 보고 싶어!	-;-
73	Vatican	바티칸	로마에 머물렀을 때 그는 바티칸을 방문했다.;When he was there, he visited the Vatican.
73	Colosseum	콜로세움	오늘은 로마에 있는 콜로세움에 대해 이야기할 거예요.;Today, I'm going to talk about the Colosseum in Rome.
73	Asia	아시아	그는 아시아를 널리 여행했다.;He has travelled widely in Asia.
73	belly, boat, pear	배	엄마, 나 배 아파요.;Mum, my tummy hurts.;그 배가 항구로 들어왔다.;The ship steered into port.;그 것은 맛있는 배다.;It's a delicious pear.
73	raw fish	회	이 집 회를 한번 먹어 봐.;Taste the raw fish they serve here.
73	taste	취향	색깔과 스타일은 개인적인 취향의 문제이다.;The colour and style is a matter of personal taste.
73	teenager	청소년	한 무리의 청소년들이 밖에서 어정거리고 있었다.;A bunch of kids were hanging around outside.
73	plastic surgery	성형 수술	코 성형수술을 좀 해야 되겠어.;I think I'm getting a nose job.
